run,time,repetition,Module,Name,
HTTP_Client_Increase_S04a-0-20200815-10:21:21-20777,1000,0,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.093873742307089
HTTP_Client_Increase_S04a-0-20200815-10:21:21-20777,1000,0,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.097090758254798
HTTP_Client_Increase_S04a-1-20200815-12:01:56-20777,1000,1,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.094074129247476
HTTP_Client_Increase_S04a-1-20200815-12:01:56-20777,1000,1,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.09720442353332
HTTP_Client_Increase_S04a-2-20200815-13:31:30-20777,1000,2,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.094283853030147
HTTP_Client_Increase_S04a-2-20200815-13:31:30-20777,1000,2,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.097548690778668
HTTP_Client_Increase_S04a-3-20200815-10:21:21-20778,1000,3,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.093871486114924
HTTP_Client_Increase_S04a-3-20200815-10:21:21-20778,1000,3,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.097015459976006
HTTP_Client_Increase_S04a-4-20200815-12:01:43-20778,1000,4,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.093002806372988
HTTP_Client_Increase_S04a-4-20200815-12:01:43-20778,1000,4,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.097121150824866
HTTP_Client_Increase_S04a-5-20200815-13:31:04-20778,1000,5,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.094939746829372
HTTP_Client_Increase_S04a-5-20200815-13:31:04-20778,1000,5,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.09658252385597
HTTP_Client_Increase_S04a-6-20200815-10:21:21-20779,1000,6,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.09540591165486
HTTP_Client_Increase_S04a-6-20200815-10:21:21-20779,1000,6,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.096895513596668
HTTP_Client_Increase_S04a-7-20200815-12:02:52-20779,1000,7,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.094336190297984
HTTP_Client_Increase_S04a-7-20200815-12:02:52-20779,1000,7,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.096112224578279
HTTP_Client_Increase_S04a-8-20200815-13:32:25-20779,1000,8,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.093641652920482
HTTP_Client_Increase_S04a-8-20200815-13:32:25-20779,1000,8,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.097130551212679
HTTP_Client_Increase_S04a-9-20200815-10:21:21-20780,1000,9,FinalTask.Professor.app[0],[VC] Avg End-to-End Delay,0.093147735504942
HTTP_Client_Increase_S04a-9-20200815-10:21:21-20780,1000,9,FinalTask.Student.app[0],[VC] Avg End-to-End Delay,0.096789689007512
